settlement_id,payment_ref,settled_amount,settlement_date,bank_code
STL-B3708F6B,PAY-FA6A3ED1,45109.87,2026-03-27 07:02:30,AXIS_BULK
STL-EC5CC5A4,PAY-79FD1185,49388.76,2026-03-17 00:48:47,AXIS_BULK
STL-40208790,PAY-97A45D00,10361.24,2026-03-19 22:15:17,ICICI_CORP
STL-EA1AC8F8,PAY-AB1C92C1,28810.17,2026-03-29 13:52:41,HDFC_01
STL-9F03FEF9,PAY-CFBDE616,20092.38,2026-03-02 18:54:59,AXIS_BULK
STL-56570D0B,PAY-86D87631,38899.18,2026-03-12 21:24:10,ICICI_CORP
STL-0DC24D6D,PAY-61B8A809,12906.03,2026-04-01 10:01:20,HDFC_01
STL-0A62F800,PAY-1F86041C,39536.22,2026-03-03 22:29:16,HDFC_01
STL-F3DDC836,PAY-EA6D4E9D,16672.6,2026-03-21 07:51:39,ICICI_CORP
STL-BF3D15B0,PAY-6C503C5F,43884.8,2026-03-20 01:40:41,ICICI_CORP
STL-ED88AF41,PAY-9D74BE2E,45745.42,2026-03-25 08:20:41,HDFC_01
STL-B868E0A9,PAY-517EEF86,48163.22,2026-03-09 19:46:05,SBI_SETTL
STL-F787835C,PAY-B0BCC839,39638.76,2026-03-03 01:14:25,AXIS_BULK
STL-75D71102,PAY-FA6770E6,33805.0,2026-03-15 08:24:25,HDFC_01
STL-3001E0DB,PAY-2EB2438C,12074.18,2026-03-04 13:24:57,ICICI_CORP
STL-83D5359E,PAY-80FF84E8,3629.24,2026-03-24 13:08:44,HDFC_01
STL-D63273BF,PAY-0F330887,2744.67,2026-03-05 02:40:45,HDFC_01
STL-77C37B2C,PAY-A72BCB75,12122.6,2026-03-27 21:09:19,AXIS_BULK
STL-8CA30836,PAY-B766CF67,33689.07,2026-03-27 00:05:44,AXIS_BULK
STL-C3D40FD3,PAY-AB546BE9,5401.57,2026-03-25 16:32:38,HDFC_01
STL-4F29C7A7,PAY-1B83B3AA,18841.23,2026-03-22 14:20:57,SBI_SETTL
STL-86A77D46,PAY-19D902D2,49055.92,2026-03-20 03:17:48,HDFC_01
STL-9D0A2A61,PAY-5434EA17,14156.13,2026-03-07 23:29:02,ICICI_CORP
STL-D82F089E,PAY-8B531659,32154.9,2026-03-04 09:19:35,ICICI_CORP
STL-128ADBB6,PAY-EB6D3579,39455.42,2026-03-11 18:08:45,ICICI_CORP
STL-916EAB2B,PAY-2F26428A,16763.7,2026-03-10 03:10:11,ICICI_CORP
STL-6B6DFAC4,PAY-64D0AFDC,27240.67,2026-03-10 08:36:06,ICICI_CORP
STL-B06B499E,PAY-DBB1964A,18232.99,2026-03-13 05:55:55,ICICI_CORP
STL-754F0BB4,PAY-153AF08C,3093.75,2026-03-21 13:52:39,HDFC_01
STL-3619C871,PAY-7897D4D2,22689.62,2026-03-18 21:30:32,AXIS_BULK
STL-80E9E812,PAY-D5FE7FE8,11466.71,2026-03-31 09:51:32,AXIS_BULK
STL-27EDF778,PAY-F4038F87,48219.3,2026-03-06 04:30:15,AXIS_BULK
STL-6D217E20,PAY-0C392A11,5844.11,2026-03-22 14:29:47,SBI_SETTL
STL-0359CB72,PAY-9716924B,7842.52,2026-03-09 03:52:30,AXIS_BULK
STL-7F4189E4,PAY-C9609991,26762.56,2026-03-24 01:38:28,HDFC_01
STL-31464517,PAY-A9D930FF,6163.5,2026-04-01 05:11:52,AXIS_BULK
STL-D06544ED,PAY-F88497A5,44460.51,2026-03-22 06:02:03,AXIS_BULK
STL-6C8BB9DE,PAY-6475CAB6,36615.82,2026-03-17 15:26:48,SBI_SETTL
STL-F2ECD9F1,PAY-F67B35A6,47702.83,2026-03-24 00:01:44,HDFC_01
STL-CEDE74AC,PAY-63FEF08C,21877.89,2026-03-19 09:02:16,SBI_SETTL
STL-F67FD239,PAY-A9F7DC3E,6550.45,2026-03-18 12:16:46,SBI_SETTL
STL-8A129895,PAY-C4D36646,15966.22,2026-03-07 03:13:29,ICICI_CORP
STL-075C3D8F,PAY-C0005ECE,24368.38,2026-03-08 08:15:09,HDFC_01
STL-B62EBE98,PAY-53D1A991,14289.13,2026-03-12 17:04:49,SBI_SETTL
STL-5A751E71,PAY-9D65AA8E,9430.6,2026-03-17 11:32:03,HDFC_01
STL-CA0B2BBA,PAY-929CAF8A,43558.2,2026-03-28 04:37:35,ICICI_CORP
STL-5EECA93E,PAY-B21C68C8,31842.01,2026-03-03 19:29:56,AXIS_BULK
STL-26626F2F,PAY-FC1731F6,22955.47,2026-03-10 13:58:19,SBI_SETTL
STL-9E45FF5F,PAY-0E1D4DB5,30013.08,2026-03-04 19:28:29,HDFC_01
STL-5F21195E,PAY-A3331241,4538.29,2026-03-23 14:02:47,AXIS_BULK
STL-C9A6A7F4,PAY-1632BD6C,14021.76,2026-03-26 17:38:08,AXIS_BULK
STL-0C748B3F,PAY-2463E9DC,14520.7,2026-03-30 09:55:19,HDFC_01
STL-699BACD7,PAY-0F0CEF40,20065.54,2026-03-29 16:37:38,ICICI_CORP
STL-D189D2B7,PAY-FB231143,47293.54,2026-03-09 15:55:20,SBI_SETTL
STL-55420B5C,PAY-14F25A12,882.63,2026-03-22 00:24:39,AXIS_BULK
STL-DE4C39D3,PAY-F59973C5,35331.73,2026-03-26 04:29:56,HDFC_01
STL-D5DA98D9,PAY-BB07EC79,43157.34,2026-03-04 08:15:53,AXIS_BULK
STL-3F3803AB,PAY-11E52C1F,43174.45,2026-03-29 14:55:49,AXIS_BULK
STL-9EED027B,PAY-C4156C43,6201.08,2026-03-03 08:48:56,AXIS_BULK
STL-B42BE782,PAY-5DB8D1D6,46028.6,2026-03-06 10:18:53,ICICI_CORP
STL-25C7AB99,PAY-72ECEF47,29649.13,2026-03-27 06:18:50,SBI_SETTL
STL-D9E6DD2D,PAY-279E838C,17305.91,2026-03-17 13:48:36,HDFC_01
STL-AC8EBEDF,PAY-A4F4D777,25742.63,2026-03-18 07:39:09,ICICI_CORP
STL-E9DB92B8,PAY-D540395F,7748.99,2026-03-11 09:29:38,HDFC_01
STL-C37CA820,PAY-22720A7D,47588.96,2026-03-31 23:57:22,AXIS_BULK
STL-B8050952,PAY-7D31C9EC,46245.64,2026-03-29 02:36:55,ICICI_CORP
STL-C85661F4,PAY-9B3976E9,3880.17,2026-03-23 13:02:45,HDFC_01
STL-9FFCE239,PAY-E01B9722,25613.18,2026-03-17 13:06:06,HDFC_01
STL-D636A8E4,PAY-F4B82921,18752.51,2026-03-15 11:33:49,AXIS_BULK
STL-DAEB70DF,PAY-35C72237,29226.31,2026-03-04 06:52:00,SBI_SETTL
STL-F8179CE0,PAY-239F23B9,24043.64,2026-03-10 06:46:41,HDFC_01
STL-644C2EAC,PAY-10E4FCDD,49128.09,2026-03-06 06:10:28,HDFC_01
STL-FAAFBF45,PAY-69CE1118,35527.27,2026-03-22 10:01:38,SBI_SETTL
STL-97E5E4C8,PAY-009AB47D,45937.87,2026-03-21 01:12:39,HDFC_01
STL-F459B8EC,PAY-47A071EA,32541.62,2026-03-05 10:01:58,AXIS_BULK
STL-65DD7AD8,PAY-E53DD1D5,12973.79,2026-04-02 07:09:26,HDFC_01
STL-18035E91,PAY-DE01924F,33348.8,2026-03-19 08:07:48,ICICI_CORP
STL-A87AF209,PAY-B4C98A63,35587.28,2026-03-07 06:34:48,SBI_SETTL
STL-C0711A03,PAY-02C113FF,33670.76,2026-03-27 08:57:57,SBI_SETTL
STL-A4549F60,PAY-9B96BD5A,18448.58,2026-03-11 14:54:59,AXIS_BULK
STL-E81A41B7,PAY-2D2103BC,11713.88,2026-03-08 16:16:29,SBI_SETTL
STL-85EB0580,PAY-2A8BD7E7,25630.64,2026-03-26 23:38:39,SBI_SETTL
STL-1678432B,PAY-5840E628,31092.56,2026-03-29 14:24:22,ICICI_CORP
STL-5EA1C93E,PAY-3551D223,41651.58,2026-03-31 20:23:34,HDFC_01
STL-CCFB524D,PAY-452BB68D,18532.82,2026-03-14 05:29:57,AXIS_BULK
STL-91F3B106,PAY-93A7C0FD,26933.55,2026-03-16 12:05:10,SBI_SETTL
STL-C3A9D99E,PAY-DF7C1E8F,47382.94,2026-03-23 11:18:06,AXIS_BULK
STL-2420E376,PAY-21B6A5C3,26609.26,2026-03-09 19:01:52,SBI_SETTL
STL-F769954F,PAY-7B4CA79F,32238.36,2026-03-19 07:31:53,HDFC_01
STL-2A27379F,PAY-EF60286B,4651.82,2026-03-10 17:08:29,ICICI_CORP
STL-D1B0B921,PAY-2F8C0E62,5039.82,2026-03-13 12:35:00,HDFC_01
STL-5A79D6A7,PAY-7BA10870,3136.22,2026-03-25 06:22:21,AXIS_BULK
STL-65201566,PAY-BB930C79,19058.18,2026-03-03 16:49:53,SBI_SETTL
STL-2ED7EA03,PAY-7CB4FA99,7311.18,2026-03-15 11:24:11,AXIS_BULK
STL-B3A6EECA,PAY-254BDBD5,30959.74,2026-03-07 00:32:19,ICICI_CORP
STL-11948AE7,PAY-9A11B175,27665.81,2026-03-31 03:07:40,HDFC_01
STL-BC32A92F,PAY-74C627E6,12263.19,2026-03-07 23:05:34,AXIS_BULK
STL-EB8FF0C4,PAY-7FDCE31D,39798.01,2026-03-23 05:17:42,AXIS_BULK
STL-AAE9002C,PAY-2A35A0CA,27034.66,2026-03-31 04:19:33,ICICI_CORP
STL-15BEC512,PAY-9C4595FF,21747.33,2026-03-30 09:35:10,AXIS_BULK
STL-BC9C06E5,PAY-27779947,33386.38,2026-03-07 07:34:38,HDFC_01
STL-F4EF29EE,PAY-4A595AD7,27432.06,2026-03-25 12:31:53,AXIS_BULK
STL-645F31D7,PAY-E2DB6A0E,2654.95,2026-03-21 00:37:21,HDFC_01
STL-C133C182,PAY-655B934D,39531.74,2026-03-18 02:38:13,SBI_SETTL
STL-A566D458,PAY-74A55A5B,2694.62,2026-03-27 06:26:03,AXIS_BULK
STL-A817166A,PAY-2D010CD7,24187.29,2026-03-10 17:06:19,AXIS_BULK
STL-EC20F511,PAY-37C379F5,15025.41,2026-03-04 09:51:52,SBI_SETTL
STL-21FAB6FC,PAY-0FA3115F,26011.49,2026-03-28 03:12:12,HDFC_01
STL-97AFDB5A,PAY-C353FD79,32521.57,2026-03-15 10:33:12,SBI_SETTL
STL-3BA381CD,PAY-844C4DE7,6661.51,2026-03-20 04:01:53,AXIS_BULK
STL-3B2314BF,PAY-7A26B60E,17282.31,2026-03-11 22:07:24,SBI_SETTL
STL-6C81427E,PAY-EFF598AA,13702.67,2026-03-06 04:17:47,AXIS_BULK
STL-BEE1EA5D,PAY-06933373,49757.36,2026-03-11 15:10:49,SBI_SETTL
STL-9D620623,PAY-8260857C,4463.41,2026-03-16 20:57:46,AXIS_BULK
STL-D65F1528,PAY-BC80D7C1,34643.36,2026-03-18 10:01:58,SBI_SETTL
STL-267A73F3,PAY-3A0DD582,49908.45,2026-03-14 21:53:39,AXIS_BULK
STL-E0A8C25D,PAY-EBF3E882,25897.76,2026-03-09 16:44:25,AXIS_BULK
STL-58189CF7,PAY-96318910,6748.39,2026-03-14 03:49:17,AXIS_BULK
STL-51B8B4EF,PAY-365DFE93,2103.07,2026-03-10 09:39:00,SBI_SETTL
STL-A911BB29,PAY-D8344854,38272.68,2026-03-29 12:53:20,AXIS_BULK
STL-A529DE29,PAY-47886122,32653.26,2026-03-13 18:39:08,ICICI_CORP
STL-69FA0BB4,PAY-FE4D68CF,26128.39,2026-03-28 23:30:10,SBI_SETTL
STL-36F6F10D,PAY-A85E9DCF,22590.52,2026-03-31 06:21:36,ICICI_CORP
STL-841E9909,PAY-E7CA1190,7218.56,2026-03-05 18:57:01,AXIS_BULK
STL-8AA688B7,PAY-157FA421,40620.4,2026-03-16 23:07:07,SBI_SETTL
STL-AEAD8AF5,PAY-1779DCF6,42642.42,2026-04-01 10:33:39,ICICI_CORP
STL-EE5C5C88,PAY-1A8DCD05,49264.06,2026-03-09 17:43:11,HDFC_01
STL-E8FEBB9D,PAY-54D57493,27924.06,2026-03-19 05:00:09,HDFC_01
